premise,hypothesis,gold_label,pred_label
" No, someone brought Mom the necklace as a gift.",Mom didn't have a necklace and nobody got her one.,contradiction,entailment
"When we quote from a source document, we use its transliteration, e.g.,al Qida instead of al Qaeda.",When we quote from a source document we use the original Arabic script.,contradiction,entailment
"While the evidence of Iranian involvement is strong, there are also signs that al Qaeda played some role, as yet unknown.",The evidence proving Iranian involvement is absolutely trustworthy.  ,neutral,entailment
"Some time ago, Texans picked up a speech habit that is being acquired by the rest of the country.",The Texan people mimicked the accent of the rest of Americans,contradiction,entailment
"And, where the reference is made in the first paragraph to  the twanging release of Ulysses' silver bow,  that the bowman is not Ulysses but Apollo, shooting into the Greek camp.",Socrates wrote extensively about the god Apollo.,neutral,entailment
) for the ironic title of his dystopic novel.,That it was chosen for the title of a novel about how bad the world can get is ironic.,neutral,entailment
These trainers were later heard boasting that their assistance led to the October 1993 shootdown of two U.S.,"At a later point, these trainers were heard mentioning that they had nothing to do with the shoot-down of two U.S. helicopters.",contradiction,entailment
"While pretending, Vygotsky explained, children repeatedly face confiicts between the rules of the make-believe situation and what they would do if they could act impulsively, and they usually decide in favor of the rules.",Children tend to follow the rules when playing pretend because they want rewards from their parents. ,neutral,entailment
"As of this date, we have received commitments for approximately forty percent of our goal to the Timothy J. O'Leary Periodontal Endowment Fund.","The commitments we currently have, stand at seventy percent of our goal. ",contradiction,entailment
State financial support is unlikely to increase significantly during the remainder of this decade.,The state has substantially increased spending for all manner of financial support services.,contradiction,entailment
 the evidence in the published work is quite thin,There is evidence that shows the work has false claims.,neutral,entailment
"He was defeated by the alerted, unarmed passengers of United 93.",All of the passengers were shot and killed.,contradiction,entailment
"He views either of them as the instrument, the bond, of his not being able to pass on the crown to a successor of his choosing (or of his subsequent begetting).",Actually passing on the crown is quite simple and easy.,neutral,entailment
"Plus, I really wasn't making the kind of connections that I wanted to make.",The connections were great.,contradiction,entailment
How many of these dresses will sell this season?,How many pairs of boots are going to sell this season?,contradiction,entailment
I have nobody here to guide me.,"I've found it refereshing that there's no one here to offer their guidance, because it's meant I've finally had space to find my own way. ",neutral,entailment
"My favorite story, um, oh, Cinderella.",I hated the Cinderella story.,contradiction,entailment
Five calls described the intent of passengers and surviving crew members to revolt against the hijackers.,The calls were made to loved ones and authorities.,neutral,entailment
"Perhaps the Proximity people thought that they had got round that little problem by giving the same definition for each of the items in the list; but we know that only very rarely are two synonyms bi-unique (which is another way of saying that if A = B, B does not necessarily always equal A), an ineluctable fact of language.",X and Y are always the exact same thing.,contradiction,entailment
"Indeed, if you watch preschoolers at play, you will see that they rarely violate the rules of their social world.",About 10 percent of preschoolers appear to violate social rules when playing.,neutral,entailment
On the monkey bars I used to swing up and get on top of it.,I used to get up on the monkey bars with friends.,neutral,entailment
"Finally, turning to her toilet, she rested her face in her hands, and gave a sort of groan. ","Finally, she slapped her face with her hands and started talking gibberish.",contradiction,entailment
It is regrettable that Lederer uses the word  corruption  (p.,Lederer is a very good writer and receives much praise from critics.,neutral,entailment
That message and all subsequent attempts to contact the flight were not acknowledged.,"Dozens of attempts were made to contact the flight, but none got a response.",neutral,entailment
"Countering Locke's image of an all-powerful adult tutor, eighteenth-century French philosopher Jean Jacques Rousseau conceived of the child as a  noble savage 'untamed but naturally good, with an innate plan for orderly, healthy growth.",Locke and Rousseau's theories on child rearing are similar.,contradiction,entailment
NEADS reported to the Continental U.S.,France is the base of NEADS.,contradiction,entailment
"Therefore, this age group continues to need more adult supervision and positive programs during after school hours.",They were at an age where they no longer needed adult supervision.,contradiction,entailment
"A Big Sister is a mentor, a friend and a role model, helping a young girl to develop the self-confidence and life skills necessary to become a responsible, productive and successful adult.",Some of the young girls that had mentors will someday return as adults to become a Big Sister.,neutral,entailment
"In this case, public outrage led to early workers' compensation and factory inspection legislation.",Public outrage and protesting lasted for two weeks before legislative actions were made.,neutral,entailment
"Oh well that was Rosemary, her mother was gone.",Rosemary's mother is with her.,contradiction,entailment
Recently I found in one of those files in which for many years I have been systematically losing things a magazine clipping from many years ago which points out that the formal language of a century and more past can lead to misunderstandings today.,Formal language of a century and more past doesn't appear to lead to any misunderstandings surprisingly. ,contradiction,entailment
"As a member of the Law Alumni Board (Board of Visitors) you are quite well acquainted with the programs, progress and problems of the law school.",The law alumni board has the uppermost authority in the school. ,neutral,entailment
They were armed and under NORAD's control.,They were eager to find and engage with their target.,neutral,entailment
"Bear in mind, however, that the information-integrated channel requires substantial investment in technologies by retailers.",Retailers might want to invest in other things too.,neutral,entailment
"IUPUI's goals for the 1990s, in the context of Indiana University's statewide plans, call for improving undergraduate education, enhancing relationships with the community , and strengthening research that will stimulate Indiana's economic growth.",The economic growth of Indiana was very poor in the 1990's.,neutral,entailment
Attaining a Subtle Grasp of Mental Life.,And it's effects on the way we live as humans.,neutral,entailment
"The so-called diskette is a flat black square of rather tough plastic with a hole in the middle and an oblong slot on each of the flat sides; it is said to be 5 inches square, but that is a  as the only person who probably ever measured one of these things, I can tell you it is 5 3/16 inches square; that may seem irrelevant, but it is only the beginning of the Great Deception.","Diskettes are not used any more,.",neutral,entailment
"Please send any survival tips for third and fourth year dental students to me, in care of IUSD!",Survival tips are very important for fourth year dental students in particular. ,neutral,entailment
Many Little Sisters are preparing to go back to school this fall full of hope and with a positive outlook.,The Little Sisters have a positive outlook for the first time.,neutral,entailment
"In Sudan, he established an Islamic Army Shura that was to serve as the coordinating body for the consortium of terrorist groups with which he was forging alliances.",He was a native of Sudan.,neutral,entailment
"If you're not from Charlotte, you're not going to know where that's at, but, um, it was really far away from everybody and behind the airport and stuff like that.",You are certainly from the area known as Charlotte.,contradiction,entailment
The line to the White House shelter conference room-and the Vice President- kept cutting off.,The line to the White House shelter conference room kept dropping calls so the Vice President was impossible to reach.,neutral,entailment
One of the passengers who mentioned a bomb expressed his belief that it was not real.,This person witnessed someone with a fake bomb.,neutral,entailment
"Thanks to our Big Sisters volunteers, these young people are self-confident, believe in themselves and are beginning to realize their full potential.",Many mentored young people don't realize their full potential.,contradiction,entailment
Then detach the lower portion and return to us as soon as possible in the postage-paid envelope.,"If you delay sending us the pre-paid envelope, we cannot accept it.",neutral,entailment
And we don't waste money.,"We never waste any money, all monies collected are dispersed in a responsible manner.",neutral,entailment
"Indiana residents (4,400 of our 5,980 alumni) may also take advantage of the Indiana Tax Credit (Form CC-40).",The tax credit is expected to be around a $400 rebate per year.,neutral,entailment
Bin Ladin had an important part in this activity.,"Bin Laden while in Saudi Arabia, played a major role in the events that transpired.",neutral,entailment
They knew American 77 was lost.,They did not know what had happened to American 77.,contradiction,entailment
Some were in business and some were talking about starting a business.,They all had various needs but the same goals with their businesses.,neutral,entailment
"And, as a Palestinian, he saw Israel as the top priority for the next stage.",He wanted a two-state solution to the Israel-Palestine conflict. ,neutral,entailment
Is he your favorite superhero?,Is Iron Man your favorite superhero?,neutral,entailment
"Of the two, the W geographical listings seem more  W lists Aylesbury , which, through some grievous, egregious fault, is not in the geographical section of the L but does appear in the A-Z section (because of the ducks).",I really don't know. this was a confusing line.,contradiction,entailment
"Between 9:01 and 9:02, a manager from New York Center told the Command Center in ",In just a minute the manager from the New York Center managed to summarize the catastrophe.,neutral,entailment
"'  However, similar expressions in French, Spanish, and Judezmo, all mentioning numbers, give pause (they are listed in Jewish Language Review 7, 1987, p.","French, Spanish and Judezmo expressions mentioning numbers give pause because you make funny faces when said.",neutral,entailment
"Miyares' repeated trips to sick call basically boiled down to, get your act together and get back in the field, or we'll make you a private again sergeant.",The complete lack of sick visits on Miyares' record meant that he was due a promotion.,contradiction,entailment
"But for 8 minutes and 13 seconds, between 8:56 and 9:05, this primary radar information on American 77 was not displayed to controllers at Indianapolis Center.",American 77 had its transponder altered so there was no data on the primary radar.  ,neutral,entailment
"Best of all, probably, was the unintentional but unavoidable hilarity roused by Hattie McDaniels, Butterfly McQueen, and Vivien Leigh as they jabbered and squeaked in Japanese about Ashley Wilkes, Mista Rhett, and the fall of Atlanta.",The hilarity that ensued as the Japanese women spoke was completely on purpose.,contradiction,entailment
"The Command Center's national operations manager, Ben Sliney, ordered all FAA facilities to instruct all aircraft to land at the nearest airport.",Ben Slimy forced all planes to continue to their destination and not leave the landing space.l,contradiction,entailment
" He wants a lollipop, too! ",The last thing he wants is a lollipop.,contradiction,entailment
"Inside the National Military Command Center, the deputy director of operations and his assistant began notifying senior Pentagon officials of the incident.",Senior Pentagon officials were shocked when they heard about the incident.,neutral,entailment
"But it wasn't like Daddy's Little Wannabe Tomboy, thing anymore, you know.","I outgrew my tomboy phase, and was more feminine now.",neutral,entailment
The Vice President was wondering how the hell could a plane hit the World Trade Center when he saw the second aircraft strike the South Tower.,The second plane hitting the South Tower answered the Vice President's question.,neutral,entailment
"I went on through, unlocked the window and left.",The window was large and easy to move through. ,neutral,entailment
" Afterwards, the Bishop walked among the crowds, eating their picnic lunches. ",The Bishop likes walking among crowds while they eat.,neutral,entailment
Consider a series of studies that examined length of maternity leave in relation to employed mothers' psychological well-being and parenting behaviors.,These studies examined length of maternity leave relative to loss of job.,contradiction,entailment
The knife and motor are supported above the base plate by a frame.,The knife and motor are supported over the top plate.,contradiction,entailment
"In high school I was, you know, 3.0's, you knows A's and B's an occasional C. Now here I'm lucky if I get a C on something.","Now I can easily get A's and B's, while before I was lucky to get a C.",contradiction,entailment
"The sociocultural vision is very dierent from behaviorism, which views development as directly imposed, or shaped, by external forces.",They almost completely contradict one another.,neutral,entailment
"That means we now have the opportunity to be a stable, positive and important part of each child's life for an entire decade.",Providing stability and positivity for each child has been made possible from continued support.,neutral,entailment
With rue and the beautiful Puritan pansies.,The pansies are all dead.,contradiction,entailment
"It's summertime, so it must be time for CAMP!","Summertime is the worst time for camp, don't you agree?",contradiction,entailment
Your contribution will help with funding so Jameson Camp can continue providing the year-round camping experience that gives kids a chance to create dreams.,The Jameson Camp needs external funding to survive,neutral,entailment
I look forward to seeing your name on our membership list.,I hope you won't join our organization.,contradiction,entailment
"In a recent provocative study, sociologist Arlie Hochschild spent months getting to know employees at a large Midwestern corporation she called Americo.",Sociologist Arlie Hochschild spent seven months getting to know employees of Americo during a recent exciting study.,neutral,entailment
But I'm never going to take the knives out.,I have plans to take out the knives as soon as possible.,contradiction,entailment
"There's, my dad reminds me from time to time.",I don't have a father.,contradiction,entailment
.. Defication of humankind as supreme. ,Human beings are blameless. ,contradiction,entailment
"SEND advances these efforts by forming long-standing relationships with local businesses, churches, residents, and other interested groups and individuals.",These relationships are formed with donations.,neutral,entailment
This year IUPUI is celebrating 25 years in partnership.,The IUPUI has been around for more than a century.,contradiction,entailment
"Helen W. Power, in  Women on Language; Women in Language [XV",Helen W. Power knows absolutely nothing about language. ,contradiction,entailment
"Our state appropriation is not now -nor has it ever been --sufficient to fund, for example, all of the costs associated with faculty research, student programs, scholarships, seminars, guest speakers, and the law library.",All of our faculty and school related costs and needs are met by our state appropriation.,contradiction,entailment
She would save everything.,She kept soup labels. ,neutral,entailment
I guess one of the other authors I like a lot uh is C.S.,I like the author C.S. Lewis.,neutral,entailment
"Price reductions from the beginning to the end of the season also increased dramatically over the period from 1948 to 1988, one in which there was considerable growth in product proliferation.","From 1948 to 1988, price reductions over the course of the season decreased.",contradiction,entailment
Every Japan veteran has his list of favorite mistakes.,No vet cares a wit about this.,contradiction,entailment
"In Cecilia's case she had to face the situation with a limited education, no skills and no source of income.","In Cecilia's case, she had little education but wanted to learn.",neutral,entailment
"Britain and North America are not only literate, but  dictionarate. ",Britain and North America are illiterate and don't know how to use a dictionary.,contradiction,entailment
The optimal policy is one for which marginal increases or decreases in chosen inventory levels will not confer additional profits.,The best policy should be sensitive to changes in select inventory levels.,neutral,entailment
Bin Ladin's grievance with the United States may have started in reaction to specific U.S. policies but it quickly became far deeper.,Bin Ladin had grievances with the United States starting with U.S. foreign policy.,neutral,entailment
Uh she had a big garage that was separate from the house and almost bigger than the house it was almost like it was a barn.,That shed was absolutely dwarfed by the house.,contradiction,entailment
About this time the Fasten Seatbelt sign would usually have been turned off and the flight attendants would have begun preparing for cabin service.,The Fasten Sealtbelt sign would have been turned on around this time as the flight attendants begun preparing for cabin service.,contradiction,entailment
Bin Ladin's impressive array of offices covertly provided financial and other support for terrorist activities.,Bin Laden didn't have any supporters. ,contradiction,entailment
"Die-cutters are much safer when fully automated, but building computerized loading and unloading features into the machine adds cost.",Putting computerized loading and unloading features in the machine costs several thousand dollars.,neutral,entailment
"(The Amalgamated and ILGWU merged in 1995 to form the Union of Needletrades, Industrial and Textile Employees'or UNITE!)",Amalgamated and ILGWU broke apart in 1995.,contradiction,entailment
"Without fully realizing it, all of us speak the language of guns and cannons in our everyday conversation, and many words and phrases we spark forth date back to the era of black powder and muzzleloading.",Languages never change and terms from the past do not influence our language today.,contradiction,entailment
"Maggy, frightened by the booming sounds, whimpers to Deb,  Scary, Mommy.",Maggy was not afraid of the storm and didn't talk to her mom.,contradiction,entailment
We shall return to this point later.,We will skip this.  ,contradiction,entailment
This ensures that they will acquire competencies that are adaptive in their culture.,The competencies that are acquired are strict and unadaptable.,contradiction,entailment
I'll pass that along over here.,I will pass any information along to relay the message as there are still other families looking for their loved one. ,neutral,entailment
"W follows the (useful) practice of listing a shortened pronunciation key on each right-hand page; L 's failure to do so is a disadvantage, notwithstanding the simplicity of their system, for the user must ferret about to find the description given on page xxii to clarify any question.","W has no pronunciation guide at all, while L provides one on every page.",contradiction,entailment
Three of the flights had actually taken off within 10 to 15 minutes of their planned departure times.,"There of the flights had taken off, but the others remained.",neutral,entailment
"When he came home, it was harder controlling diabetes.",He has never been diagnosed with diabetes.,contradiction,entailment
Do you read yet?,Do you watch tv yet?,contradiction,entailment
The problem was solved simply by using an already standard character that had a similar sound to what the Viet called themselves.,The problem remained intractable because it was impossible to substitute other characters.,contradiction,entailment
"Essentially, random fluctuation in demand cannot be explained by trends, seasonality, cyclicality, or other factors like advertising and new product introduction.",Retailers would like to be able to explain every fluctuation in demand.,neutral,entailment
Um we always tended to stop somewhere scenic either going to or coming from.,"Since the picturesque locations were the only places worth visiting, they were where we usually went. ",neutral,entailment
"Without a nationally regulated and generously subsidized child-care system, formal child care in the United States is in much shorter supply and considerably more costly for parents than it is in other industrialized nations.",Formal child care in the US is much better than in any other country.,contradiction,entailment
 From Home Work to Modern Manufacture,Home work is a less viable option.,neutral,entailment
Each award involves a tuition/fee remission and a $1000 stipend.,Each award involves a moldy piece of hard candy and a cigarette butt. ,contradiction,entailment
"At 8:28, Boston Center called the Command Center in Herndon to advise that it believed American 11 had been hijacked and was heading toward New York Center's airspace.",Houston Center called the Command center in Herndon.,contradiction,entailment
The Student American Dental Hygienist's Association Hearty Smiles project at Riley Hospital has been successful and rewarding to the children as well as the hygiene students.,The children did not want to see the hygiene student's leave.,neutral,entailment
"The most recent hijacking that involved U.S. air traffic controllers, FAA management, and military coordination had occurred in 1993.",The most recent hijacking that involved three air-traffic related organizations had been they year before that.,contradiction,entailment
Neither do we.,We don't want her to lose her job.,neutral,entailment
Children are back in their classrooms enjoying the fun of renewing friendships and activities interrupted by summer vacation.,Children hate being back in their classrooms after summer vacation.,contradiction,entailment
The impact of these projects will be accelerated by an economic development initiative launched this year which will enable new and existing businesses to flourish in this neighborhood.,The impact of the projects will be sped up by an economic development initiative that we launched to help local businesses navigate the tax code.,neutral,entailment
"As a donor to the School of Dentistry, you are making a significant investment in dental education in Indiana.",As a donar to the school of dentistry you are paying to help these dental students eat.,neutral,entailment
"Five-year pledges are essential, and will be recognized at the IDA Annual Session and in school and professional publications.",Five-year pledges don't matter and if you pledge we won't recognize you in any way. ,contradiction,entailment
"We count on your continuing interest in Sudden Infant Death Syndrome, the SIDS Alliance and our programs.",We count on your donation of more than $300 to help fight SIDS.,neutral,entailment
"Perhaps the Proximity people thought that they had got round that little problem by giving the same definition for each of the items in the list; but we know that only very rarely are two synonyms bi-unique (which is another way of saying that if A = B, B does not necessarily always equal A), an ineluctable fact of language.",X and Y are always the exact same thing.,contradiction,entailment
"When parents and children spend most of their time apart, the result is a profound dampening of parents' socializing power.","When parents and kids are together more, the result is parents socialize more.",neutral,entailment
"The reception is scheduled for Thursday, April 29, (6:00-7:30 p.m.) at the Hyatt Regency.",The reception has been cancelled.,contradiction,entailment
"The idea of a domestic command for homeland defense began to be discussed in 1997, and in 1999 the Joint Chiefs developed a concept for the establishment of a domestic Unified Command.",A domestic command is necessary for safety in this new age of terrorism.,neutral,entailment
There was one particular woman I don't recall her name.,"I remember that woman's name, it was Jane. ",contradiction,entailment
When was the last time you stopped at IUPUI since you graduated?,You haven't graduated from IUPUI yet.,contradiction,entailment
Use of continuous review allows retailers to achieve a higher service level with a lower amount of inventory.,Continued review can only lead to a lower service level with high inventory.,contradiction,entailment
In just the past few years this program has grown from a few kids and a few extra activities to a team of almost 60 young adults taking on real projects.,"A few kids grew into a team of almost 60 young adults, coming from many different states, and even some internationally. ",neutral,entailment
Figure 14.5 shows our basic results in regard to average profit margin for different levels of technology adoption.,The average profit margin was determined for each business unit involved.,neutral,entailment
"Letters in support or condemnation of the QES program (though one may assume they will insist on programme ) should be addressed to Mrs Anne Shelley, Secretary, Queen's English Society, 3 Manor Crescent, Guildford GU2 6NF, England.",The letters about the QES program should be sent to Bob in the United States.,contradiction,entailment
Private gifts will play a vital role in reaching these goals.,"Being able to achieve these objectives means that donations, volunteer hours and other contributions will be needed.",neutral,entailment
"One common way of measuring inventory is to calculate the I/S ratio'that is, the ratio of total finished good inventories to total sales.",The I/S ratio is the ratio of total sales to total good inventories.,contradiction,entailment
The First  Apparel Design and Patterns,The Apparel Design and Patterns before production.,neutral,entailment
The funds go directly to the students' tuition.,The funds go into investments for the school president to get a mansion.,contradiction,entailment
The measurements must still be transmitted to a CAD system that will automatically alter the pattern to conform to specific body measurements.,Transmitting the data to a CAD system would go against the intentions of the scientists for this experiment. ,contradiction,entailment
"It is a game that is like fishing in a barrel, but more stimulating mentally.",There are better games than fishing.,neutral,entailment
These people are living proof that your investment pays off.,The people are proof that the investment is not worth it.,contradiction,entailment
One of the flights that received the warning was United 93.,Three flights in total received warnings.,neutral,entailment
"So they would, they would always come to me, and they told me, Ma'am, sell us milk, sell us yogurt, sell us cheese, or sell us a, a hog, a plump hog, well I had to sell them, and I am going to sell, he'd said, if you sell them to everyone else, sell to us, too.","They wanted the cheese, yogurt and milk because they were starving. ",neutral,entailment
Thousands of Hoosier motorists have been doing just that by purchasing environmental license plates.,This small act has a big impact.,neutral,entailment
"Under  L,  entries include Latin/Greek , defined by Aphra Behn, cited in Dale Spender's book, as `Secret codes supplied through an education traditionally denied women.",Women have always had the same opportunities as men.,contradiction,entailment
Other flight attendants were busy at duties such as getting medical supplies while Ong and Sweeney were reporting the events.,The medical supplies included an automatic defibrillator and oxygen masks..,neutral,entailment
Everyone talks nowadays about making dictionaries user-friendlier.,Dictionaries are only useful for people with plenty of education.,neutral,entailment
"At about 9:00, the senior NMCC operations officer reached out to the FAA operations center for information.",A senior NMCC operations officer never reached out to the FAA.,contradiction,entailment
Or if they ever will at all?,Will they never?,contradiction,entailment
"Denim is from de `from' + Nimes , the town.","Denim is from Dimes and neim, the arabic word for town.",contradiction,entailment
"Big Sisters helps fill that void by matching caring, responsible adult volunteers with at-risk girls, ages 8-14.",The Big Sisters have undergone background checks before being paired with the children.,neutral,entailment
Basic items also represent a major percentage of all apparel goods sold.,Prom dresses make up the largest percentage of apparel goods sold.,contradiction,entailment
"This is demonstrated in a variety of  a shared literacy and the assumptions and biases that go with it; an awareness of what books are for; consciousness and use of innumerable cultural allusions and educated idioms; and a relative ease in reading a periodical called VERBATIM, with sections called OBITER DICTA and EPISTOLAE.",VERBATIM is a highly popular periodical amongst the educated communities.,neutral,entailment
I would enjoy meeting with you and hearing how the School of Engineering and Technology has affected your life.,I would like you to express your opinion of how the Business department has changed your life,contradiction,entailment
"Although self-regulation improves gradually throughout childhood and adolescence, early childhood is a crucial period for its development'a time when children learn to overcome impulses by thinking before they act.",Early childhood is not a crucial period for children's development at all.,contradiction,entailment
No finer education is available-anywhere.,No finer education is available anywhere because we are the only school that does certain things. ,neutral,entailment
"Elbert, I just want to ask you uh, some questions about your experience with uh, stories.",I need to know about your experience with film. ,contradiction,entailment
"As a result, she acquires reasoning skills and can take initiative when faced with future problems.",Her reasoning and problem-solving skills will allow her to develop a higher-paying career.,neutral,entailment
They seem to think that he is descending.,They think he is increasing the height.,contradiction,entailment
"In addition, we will have soft drinks and a raffle, so that you can walk home with a great prize!","In addition to the raffle and soft drinks, we will also have food.",neutral,entailment
Then the next day I don't know if you weren't there.,"I tried to figure out if you were going to show up the next day, but it didn't seem like you did, so I figured you just didn't care anymore.",neutral,entailment
It is basically composed of 29 percent Anglo-Saxon and 60 percent Romance (including Latin and Greek) words.,There are no romance words in the text.,contradiction,entailment
"Thus,  Step down (or back) and give me a shot  was readily understood.","Therefore, let me shoot was not able to be understood.",contradiction,entailment
"I do, but it gets to a point where like I feel like if I fail, it's just going to be like way too much for everybody.","I fail at lots of things, basically a failure at life.",neutral,entailment
"A Feminist Dictionary , edited by influential Cheris Kramarae and Paula Treichler along with Ann Russo, suggests the style and the substance of some recent feminist discourse.",Cheris Kramarae published a book criticizing the style and substance of recent feminist arguments.,contradiction,entailment
"Specifically, our manufacturer checked inventory of every item each week.",The inventory check for our manufacturer happens every Tuesday.,neutral,entailment
The forecasting challenges retailers confront have been amplified in recent years by product proliferation in almost every category.,Forecasting has been easier recently due to the updated process we have today.,contradiction,entailment
Textile mills at their outset often provided the principal employment in the locality.,Textile mills provided least of the employment in the locality.,contradiction,entailment
Men's clothing has generally been made in long production runs with only small variations among styles in a given year and relatively little change from year to year.,This worked for retailers because men's fashions were largely uniform.,neutral,entailment
"At the same time, these regimes had closed off nearly all paths for peaceful opposition, forcing their critics to choose silence, exile, or violent opposition.",They allowed their critics to voice their opinion.,contradiction,entailment
"Hopefully, all of us can do more internal marketing with our young patients to encourage them to consider the field of Dental Assisting.",No one should be encouraged to consider being a dental assistant. ,contradiction,entailment
"Well, who told you that story?","You have forgotten who it was that told that story to you, haven't you?",neutral,entailment
So this story was read to you by your cousins?,Did your cousin Melvin read this story to you?,neutral,entailment
I will call you in a few weeks to discuss your level of interest.,I don't have time to call you to talk about your level of interest in a few weeks.,contradiction,entailment
Misalignment of the edges can ruin many pattern pieces and the final garments for which they were intended.,Misalignment of the edges can ruin many pattern pieces and discipline will be in order.,neutral,entailment
Please help make that same opportunity available to some deserving students today.,The students who are given this opportunity will benefit greatly both now and in the future.,neutral,entailment
There was confusion at that moment in the FAA.,The FAA was confused because of receiving mixed signals.,neutral,entailment
The attempted assassination in Ethiopia of Egyptian President Hosni Mubarak in June 1995 appears to have been a tipping point.,"Egyptian President Hosni Mubarak never visited Ethiopia, and never saw an assassination attempt.",contradiction,entailment
"A Feminist Dictionary , edited by influential Cheris Kramarae and Paula Treichler along with Ann Russo, suggests the style and the substance of some recent feminist discourse.","Cheris Kramarae, Paula Treichler and Ann Russa were strong supporters of feminism.",neutral,entailment
He also stresses grievances against the United States widely shared in the Muslim world.,He expressed love and admiration for the United States.,contradiction,entailment
"As our consideration of Anselmo and his parents revealed, doing the task for the child severely reduces learning and self-regulation.",We did not consider Anselmo's actions revealing.,contradiction,entailment
At this time the FAA had no contact with the military at the level of national command.,The FAA had a special phone line just to call them.,contradiction,entailment
"Formally defined as the standard deviation of demand divided by average demand, the coefficient of variation can be considered a measure of variation that is normalized; it allows us to compare the variation of demand for different products, even if the average demand of the two products is quite different.",We have no way of comparing the demand for different products.,contradiction,entailment
"Actually, my sister wrote a story on it.",My sister really enjoyed writing a story about it.,neutral,entailment
"And he goes, Yeah, sure, I'll take you.",I hope he was not lying.,neutral,entailment
"So after two or three days he called Callgrove and said, Don't bother coming in I found a guy better than you.",He called up Callgrove to give him a raise.,contradiction,entailment
"At 8:34, the Boston Center controller received a third transmission from American 11:",The Boston Center controller never got a third transmission from American 11 because it had crashed.,contradiction,entailment
"THE GIRL SCOUT PROMISE On my honor, I will try To serve god and my country, To help people at all times, And to live by the Girl Scout Law.",Girl Scouts promise not to serve god.,contradiction,entailment
"NORAD officials have maintained consistently that had the passengers not caused United 93 to crash, the military would have prevented it from reaching Washington, D.C.","NORAD officials have maintained that military would not have shot it down if the passengers hadn't crashed it, instead letting it travel until it ran out of fuel.",contradiction,entailment
Please help make that same opportunity available to some deserving students today.,The students who are given this opportunity will benefit greatly both now and in the future.,neutral,entailment
A picture-restorer is  one who cleans and restores and sometimes ruins old pictures. ,Old pictures are never ruined by picture-restorers.,contradiction,entailment
We all realize how the availability or lack of comfortable seating and conference space made it possible for us to socialize or to get help in a course giving us difficulty.,We never socialized or asked for help from our peers because there was no where to do so.,contradiction,entailment
"Yeah, I have a son that uh, likes to relive the tragedy of his split lip.","My son doesn't have any stories, never broken anything, nothing interesting. ",contradiction,entailment
"Most of the religions of the world connected woman with mother earth, fertility, and all the other progenetic and nurturing associations, and this was borne out in the cultures of the people.","Most religions stem from Pagan ones, which celebrate women and worship the earth.",neutral,entailment
Do you remember any specific ones that you could retell?,Do you remember any stories of working with famous artists?,neutral,entailment
"When I was teaching there, the explanation invariably given by boys brought to me for scrapping in the playground   Ee it oi, so oi it ee. ",I quit teaching to become a reporter.,neutral,entailment
"Well, who told you that story?","You have forgotten who it was that told that story to you, haven't you?",neutral,entailment
"Indeed, if you watch preschoolers at play, you will see that they rarely violate the rules of their social world.",Preschoolers often violate social rules because they don't know any better at that young an age.,contradiction,entailment
When was that?,When was your graduation?,neutral,entailment
"Mr. Delaney is a victim of the confusion so often experienced by Latin students between the gerund, which is a neuter noun, active in meaning, and the gerundive, which is an adjective of similar form, but passive in meaning.",Latin is a very hard language to learn.,neutral,entailment
" I'm going to try to confirm an ID for you, but I would assume he's somewhere over, uh, either New Jersey or somewhere further south.",I'm going to try and confirm a non-driver state ID for you.,neutral,entailment
Radar reconstructions performed after 9/11 reveal that FAA radar equipment tracked the flight from the moment its transponder was turned off at 8:56.,There was no prior information about the airplane that caused 9/11.,contradiction,entailment
"We have already seen how academically related tasks, family celebrations, family outings, and adult-child storybook reading are excellent focal points for adult-child engagement.",We have already noted that family outings are the best focal points of adult-child engagement.,neutral,entailment
"And that keeps me, as an adult, one, remembering to pray like a child, and to maintain some of the innocence, which is difficult, of a child.",I pray daily to try to retain some of the innocence of a child.,neutral,entailment
Perhaps Aman will sharpen his perspective and techniques and institute such interviews as a regular feature of Maledicta .,I hope Maledicta has no more interviews.,contradiction,entailment
"And I remember that being, appearing to be so far in the future.",I cannot believe the future is now.,neutral,entailment
He decided to make a brief statement from the school before leaving for the airport.,He made a brief statement to an audience of concerned people before leaving for the airport.,neutral,entailment
You can see from the enclosed newspaper article the quality and diversity of those who receive this honor.,The enclosed article is the only one in which these data can be found.,neutral,entailment
"To many, it is significant that the privilege of naming, granted to Adam, was denied to Eve.",Many people are angry that Eve was denied the privilege of naming.,neutral,entailment
"The buyer should order 250 units, since there is a 75 percent probability that demand will be less than this.","If the demand is lower, we need to buy fewer units.",neutral,entailment
"It had resumed its flight to Minnesota and saw the smoke from the crash of United 93, less than two minutes after the plane went down.",The plane to Minnesota crashed down.,contradiction,entailment
" Afterwards, the Bishop walked among the crowds, eating their picnic lunches. ",The Bishop likes walking among crowds while they eat.,neutral,entailment
"The more pieces in a marker, the more effort required to make an efficient marker of a given width.",Effort needed increases exponentially with the number of pieces in a marker.,neutral,entailment
Working in its favor is a social contract with a three-part system established in every country in the ,The three-part system is being discontinued in some countries.,contradiction,entailment
"The story disclosed that adults realize a long service is hard for a small boy to sit through, but exercising self-restraint and participating in communal rituals bring praise and acceptance from the community.",The story disclosed that adults are unaware of the difficulties of sitting through a long service for a small boy.,contradiction,entailment
